id,soldDate,latitude,longitude,floorSize,beds,bathrooms,url,address,city,state,zipCode,price
zpid_103031627,for sale,26.130796,-80.17469,1426,3,2,https://www.zillow.com/homedetails/655-NW-24th-Ave-Fort-Lauderdale-FL-33311/103031627_zpid/,655 NW 24th Ave,Fort Lauderdale,FL,33311,520000
zpid_103032796,for sale,26.126743,-80.170975,1982,4,3,https://www.zillow.com/homedetails/431-NW-21st-Ter-Fort-Lauderdale-FL-33311/103032796_zpid/,431 NW 21st Ter,Fort Lauderdale,FL,33311,599000
zpid_103167224,for sale,26.280912,-81.53127,2431,4,3,https://www.zillow.com/homedetails/3780-27th-Ave-NE-Naples-FL-34120/103167224_zpid/,3780 27th Ave NE,Naples,FL,34120,799900
zpid_112718584,for sale,26.04411,-80.26053,3130,4,3,https://www.zillow.com/homedetails/8537-NW-41st-St-Cooper-City-FL-33024/112718584_zpid/,8537 NW 41st St,Cooper City,FL,33024,1225000
zpid_113379025,for sale,25.78521,-80.2259,935,2,2,https://www.zillow.com/homedetails/1861-NW-South-River-Dr-UNIT-1403-Miami-FL-33125/113379025_zpid/,1861 NW South River Dr UNIT 1403,Miami,FL,33125,430000
zpid_117471837,for sale,26.033298,-80.253746,2860,4,3,https://www.zillow.com/homedetails/2824-NW-83rd-Ter-Cooper-City-FL-33024/117471837_zpid/,2824 NW 83rd Ter,Cooper City,FL,33024,1295000
zpid_121231960,for sale,25.854944,-80.35758,3128,4,4,https://www.zillow.com/homedetails/9855-NW-89th-Ter-Doral-FL-33178/121231960_zpid/,9855 NW 89th Ter,Doral,FL,33178,900000
zpid_121340069,for sale,25.986078,-80.12257,1030,2,2,https://www.zillow.com/homedetails/2602-E-Hallandale-Beach-Blvd-R1107-Hallandale-FL-33009/121340069_zpid/,2602 E Hallandale Beach Blvd #R1107,Hallandale,FL,33009,569000
zpid_121673008,for sale,25.903034,-80.35358,2992,5,5,https://www.zillow.com/homedetails/8852-W-34th-Ct-Hialeah-FL-33018/121673008_zpid/,8852 W 34th Ct,Hialeah,FL,33018,799000
zpid_121673282,for sale,25.854485,-80.36205,2462,3,3,https://www.zillow.com/homedetails/10086-NW-89th-Ter-Doral-FL-33178/121673282_zpid/,10086 NW 89th Ter,Doral,FL,33178,960000
zpid_122018942,for sale,25.85424,-80.36641,2462,3,3,https://www.zillow.com/homedetails/8860-NW-99th-Path-Doral-FL-33178/122018942_zpid/,8860 NW 99th Path,Doral,FL,33178,799000
zpid_155818560,for sale,25.742464,-80.21829,4101,5,6,https://www.zillow.com/homedetails/1621-S-Bayshore-Dr-Miami-FL-33133/155818560_zpid/,1621 S Bayshore Dr,Miami,FL,33133,4450000
zpid_156159086,for sale,25.834312,-80.22645,2224,6,4,https://www.zillow.com/homedetails/1775-NW-65th-St-Miami-FL-33147/156159086_zpid/,1775 NW 65th St,Miami,FL,33147,810000
zpid_156309062,for sale,25.658459,-80.359665,2031,4,3,https://www.zillow.com/homedetails/10252-SW-119th-St-Miami-FL-33176/156309062_zpid/,10252 SW 119th St,Miami,FL,33176,925000
zpid_156486740,for sale,25.834446,-80.367516,6355,6,7,https://www.zillow.com/homedetails/10498-NW-67th-Ter-Doral-FL-33178/156486740_zpid/,10498 NW 67th Ter,Doral,FL,33178,3300000
zpid_162032768,for sale,25.842676,-80.36102,3624,4,4,https://www.zillow.com/homedetails/10067-NW-75th-Ter-Doral-FL-33178/162032768_zpid/,10067 NW 75th Ter,Doral,FL,33178,1350000
zpid_162033852,for sale,25.841393,-80.36039,3690,5,5,https://www.zillow.com/homedetails/7442-NW-100th-Ave-Doral-FL-33178/162033852_zpid/,7442 NW 100th Ave,Doral,FL,33178,1385000
zpid_2057173362,for sale,25.945347,-80.1408,1066,1,2,https://www.zillow.com/homedetails/2851-NE-183rd-St-APT-105-North-Miami-Beach-FL-33160/2057173362_zpid/,2851 NE 183rd St APT 105,North Miami Beach,FL,33160,210000
zpid_2057181082,for sale,26.254705,-80.16903,1155,2,2,https://www.zillow.com/homedetails/1804-Eleuthera-Poin-APT-N2-Pompano-Beach-FL-33066/2057181082_zpid/,1804 Eleuthera Poin APT N2,Pompano Beach,FL,33066,199000
zpid_2057181733,for sale,26.266068,-80.17948,1385,2,2,https://www.zillow.com/homedetails/4134-Carambola-Cir-S-205-Pompano-Beach-FL-33066/2057181733_zpid/,4134 Carambola Cir S #205,Pompano Beach,FL,33066,275000
zpid_2057182751,for sale,26.042307,-81.67033,984,1,2,https://www.zillow.com/homedetails/159-Cheetah-Dr-159-Naples-FL-34114/2057182751_zpid/,159 Cheetah Dr #159,Naples,FL,34114,180000
zpid_2057185391,for sale,26.293407,-81.813705,1498,3,2,https://www.zillow.com/homedetails/585-Club-Side-Dr-3-301-Naples-FL-34110/2057185391_zpid/,585 Club Side Dr #3-301,Naples,FL,34110,459000
zpid_2057203095,for sale,,,1452,3,2,https://www.zillow.com/homedetails/301-City-View-Dr-301-Fort-Lauderdale-FL-33311/2057203095_zpid/,301 City View Dr #301,Fort Lauderdale,FL,33311,449000
zpid_2057212496,for sale,26.273153,-80.14068,1200,2,2,https://www.zillow.com/homedetails/3370-Beau-Rivage-Dr-APT-T4-Pompano-Beach-FL-33064/2057212496_zpid/,3370 Beau Rivage Dr APT T4,Pompano Beach,FL,33064,219999
zpid_2057226384,for sale,25.937315,-80.32251,1150,2,3,https://www.zillow.com/homedetails/18055-NW-74th-Ct-18055-Hialeah-FL-33015/2057226384_zpid/,18055 NW 74th Ct #18055,Hialeah,FL,33015,362000
zpid_2057274689,for sale,26.035591,-80.250786,1254,2,3,https://www.zillow.com/homedetails/2926-Cascada-Isles-Way-0-Hollywood-FL-33024/2057274689_zpid/,2926 Cascada Isles Way #0,Hollywood,FL,33024,525000
zpid_2057339356,for sale,25.7176,-80.31081,2673,4,4,https://www.zillow.com/homedetails/7200-SW-Miller-Dr-Miami-FL-33155/2057339356_zpid/,7200 SW Miller Dr,Miami,FL,33155,2650000
