id,latitude,longitude,floorSize,beds,bathrooms,url,address,city,state,zipCode,price
zpid_103011508,26.118587,-80.2863,4934,6,6,https://www.zillow.com/homedetails/141-Peregrine-Ave-Plantation-FL-33324/103011508_zpid/,141 Peregrine Ave,Plantation,FL,33324,18000
zpid_103015743,26.132256,-80.16233,1420,3,3,https://www.zillow.com/homedetails/731-NW-15th-Ave-Fort-Lauderdale-FL-33311/103015743_zpid/,731 NW 15th Ave,Fort Lauderdale,FL,33311,2895
zpid_103021675,26.03977,-80.25751,2084,4,4,https://www.zillow.com/homedetails/8441-NW-38th-St-Hollywood-FL-33024/103021675_zpid/,8441 NW 38th St,Hollywood,FL,33024,4890
zpid_103030612,26.062395,-80.2384,2762,4,4,https://www.zillow.com/homedetails/6890-Lakeside-Cir-S-Davie-FL-33314/103030612_zpid/,6890 Lakeside Cir S,Davie,FL,33314,4000
zpid_103033983,26.039728,-80.25741,1654,3,3,https://www.zillow.com/homedetails/8437-NW-38th-St-Hollywood-FL-33024/103033983_zpid/,8437 NW 38th St,Hollywood,FL,33024,4425
zpid_110281190,26.03359,-80.25682,2320,4,4,https://www.zillow.com/homedetails/2835-NW-84th-Ter-Hollywood-FL-33024/110281190_zpid/,2835 NW 84th Ter,Hollywood,FL,33024,5900
zpid_110281226,26.038534,-80.255104,2015,3,2.5,https://www.zillow.com/homedetails/8319-NW-38th-St-Hollywood-FL-33024/110281226_zpid/,8319 NW 38th St,Hollywood,FL,33024,4395
zpid_110557262,26.001707,-80.140396,525,1,1,https://www.zillow.com/homedetails/1647-Rodman-St-Hollywood-FL-33020/110557262_zpid/,1647 Rodman St,Hollywood,FL,33020,1950
zpid_110558425,26.040968,-80.2584,2720,4,4,https://www.zillow.com/homedetails/8537-NW-39th-Ct-Hollywood-FL-33024/110558425_zpid/,8537 NW 39th Ct,Hollywood,FL,33024,10000
zpid_111440754,26.040735,-80.25799,2320,4,4,https://www.zillow.com/homedetails/8507-NW-39th-Ct-Hollywood-FL-33024/111440754_zpid/,8507 NW 39th Ct,Hollywood,FL,33024,6500
zpid_112718603,26.038845,-80.25417,1654,3,3,https://www.zillow.com/homedetails/8290-NW-39th-Ct-Hollywood-FL-33024/112718603_zpid/,8290 NW 39th Ct,Hollywood,FL,33024,4400
zpid_112718606,26.039425,-80.25523,1654,3,3,https://www.zillow.com/homedetails/8310-NW-39th-Ct-Cooper-City-FL-33024/112718606_zpid/,8310 NW 39th Ct,Cooper City,FL,33024,4500
zpid_117471802,26.036827,-80.25491,4110,5,5,https://www.zillow.com/homedetails/3291-NW-82nd-Way-Hollywood-FL-33024/117471802_zpid/,3291 NW 82nd Way,Hollywood,FL,33024,14000
zpid_117471852,26.042236,-80.25501,2353,4,4,https://www.zillow.com/homedetails/8459-NW-40th-St-Cooper-City-FL-33024/117471852_zpid/,8459 NW 40th St,Cooper City,FL,33024,5850
zpid_117593750,25.828785,-80.1812,2486,3,3,https://www.zillow.com/homedetails/681-NE-57th-St-Miami-FL-33137/117593750_zpid/,681 NE 57th St,Miami,FL,33137,9300
zpid_118613770,26.034796,-80.25375,4110,5,5,https://www.zillow.com/homedetails/2860-NW-82nd-Way-Cooper-City-FL-33024/118613770_zpid/,2860 NW 82nd Way,Cooper City,FL,33024,10000
zpid_121230220,25.951483,-80.184875,2223,4,4,https://www.zillow.com/homedetails/19276-NE-8th-Ct-Miami-FL-33179/121230220_zpid/,19276 NE 8th Ct,Miami,FL,33179,6900
zpid_121231369,25.952522,-80.183,2702,5,5,https://www.zillow.com/homedetails/19316-NE-9th-Pl-Miami-FL-33179/121231369_zpid/,19316 NE 9th Pl,Miami,FL,33179,5300
zpid_121342558,25.97578,-80.26606,1891,3,3,https://www.zillow.com/homedetails/9165-SW-36th-Mnr-Hollywood-FL-33025/121342558_zpid/,9165 SW 36th Mnr,Hollywood,FL,33025,3500
zpid_121347623,25.681421,-80.47079,2144,3,3,https://www.zillow.com/homedetails/17031-SW-92nd-St-Miami-FL-33196/121347623_zpid/,17031 SW 92nd St,Miami,FL,33196,3600
zpid_121929599,25.997889,-80.34177,2287,4,4,https://www.zillow.com/homedetails/14623-SW-13th-St-Hollywood-FL-33027/121929599_zpid/,14623 SW 13th St,Hollywood,FL,33027,3800
zpid_122014828,25.854445,-80.35559,1227,3,3,https://www.zillow.com/homedetails/8930-NW-97th-Ave-APT-105-Doral-FL-33178/122014828_zpid/,8930 NW 97th Ave APT 105,Doral,FL,33178,2900
zpid_122256032,26.058615,-80.289764,1300,2,2,https://www.zillow.com/homedetails/10700-SW-51st-St-Davie-FL-33328/122256032_zpid/,10700 SW 51st St,Davie,FL,33328,3500
zpid_122690010,25.602928,-80.44237,1906,3,3,https://www.zillow.com/homedetails/15421-SW-176th-Ln-Miami-FL-33187/122690010_zpid/,15421 SW 176th Ln,Miami,FL,33187,3700
zpid_123868802,25.686668,-80.17711,12113,6,6,https://www.zillow.com/homedetails/755-S-Mashta-Dr-Key-Biscayne-FL-33149/123868802_zpid/,755 S Mashta Dr,Key Biscayne,FL,33149,85000
